Case_Number,Fault_Resistance,Fault_Angle,Fault_Duration,Vnadir,Number of Trips,Number of Chatters,Value of Chatters,Final_Output,Segment 1_Stall,Segment2_Stall,Segment3_Stall,TMS,,T1_Measured,V1_Measured,T2_Measured,V2_Measured,,,,,,
152,1.178260159,1.995910761,0.071658019,0.840330074,0,3,1.5,1.5,1,0,1,20,,0.010061092,0.851287816,98.329239,0.975223862,,,,,,
153,1.490542847,1.996715859,0.085216888,0.855214241,0,3,1.5,1.5,1,1,1,30,,0.017929239,0.863992356,94.404141,0.923110657,,,,,,
154,0.639406064,1.998101445,0.076332359,0.800329498,3,0,3,3,1,1,1,30,,0.012684141,0.800848125,90.258555,0.868811069,,,,,,
155,1.460802246,1.996741304,0.095929268,0.853163501,0,3,1.5,1.5,0,1,0,10,,0.015258555,0.859185699,117.778696,0.948096407,,,,,,
156,1.261640494,1.999892056,0.092098345,0.84048915,0,3,1.5,1.5,1,1,1,30,,0.015058696,0.848134346,109.227944,0.919028591,,,,,,
157,1.801149841,1.997987797,0.091787856,0.86557368,0,3,1.5,1.5,0,0,0,0,,0.034587944,0.883652468,93.012203,0.883500435,,,,,,
158,0.800632908,1.996100435,0.098311608,0.812242864,0,3,1.5,1.5,1,1,1,30,"(1,2)",0.009972203,0.816711324,113.979565,0.89290206,,,,,,
159,0.572913382,1.999816917,0.085689536,0.790518452,3,0,3,3,1,1,1,30,,0.013899565,0.791944922,106.063083,0.85873747,,,,,,
160,1.886000647,1.997151885,0.07012342,0.876542431,0,3,1.5,1.5,0,0,0,0,,0.035863083,0.933621482,90.008115,0.933174475,,,,,,
161,0.654405555,1.997917548,0.086548399,0.801263114,3,0,3,3,1,1,1,30,,0.012248115,0.802741202,106.282452,0.87200629,,,,,,
162,1.994433861,1.998230524,0.097840088,0.879383695,0,0,1.5,1.5,0,0,1,10,,0.038362452,0.883920977,100.569476,0.889562718,,,,,,
