Domain, Vposmag, PriVposmag, PriIposmag, Iposmag,,Domain, Signal, Signal1, Signal2
1.98648,7.324849024,39.74464946,0.095591941,0.530277816,,1.98648,0,0,0
1.9866,7.324849024,39.74464946,0.095591941,0.530277816,,1.9866,0,0,0
1.98672,7.324849024,39.74464946,0.095591941,0.530277816,,1.98672,0,0,0
1.98684,7.324849024,39.74464946,0.095591941,0.530277816,,1.98684,0,0,0
1.98696,7.324849024,39.74464946,0.095591941,0.530277816,,1.98696,0,0,0
1.98708,7.324849024,39.74464946,0.095591941,0.530277816,,1.98708,0,0,0
1.9872,7.324849024,39.74464946,0.095591941,0.530277816,,1.9872,0,0,0
1.98732,7.324849024,39.74464946,0.095591941,0.530277816,,1.98732,0,0,0
1.98744,7.324849024,39.74464946,0.095591941,0.530277816,,1.98744,0,0,0
1.98756,7.324836156,39.74464812,0.095593694,0.530287574,,1.98756,0,0,0
1.98768,7.324836156,39.74464812,0.095593694,0.530287574,,1.98768,0,0,0
1.9878,7.324836156,39.74464812,0.095593694,0.530287574,,1.9878,0,0,0
1.98792,7.324836156,39.74464812,0.095593694,0.530287574,,1.98792,0,0,0
1.98804,7.324836156,39.74464812,0.095593694,0.530287574,,1.98804,0,0,0
1.98816,7.324836156,39.74464812,0.095593694,0.530287574,,1.98816,0,0,0
1.98828,7.324836156,39.74464812,0.095593694,0.530287574,,1.98828,0,0,0
1.9884,7.324836156,39.74464812,0.095593694,0.530287574,,1.9884,0,0,0
1.98852,7.324836156,39.74464812,0.095593694,0.530287574,,1.98852,0,0,0
1.98864,7.324853561,39.74464687,0.095594442,0.530291612,,1.98864,0,0,0
1.98876,7.324853561,39.74464687,0.095594442,0.530291612,,1.98876,0,0,0
1.98888,7.324853561,39.74464687,0.095594442,0.530291612,,1.98888,0,0,0
1.989,7.324853561,39.74464687,0.095594442,0.530291612,,1.989,0,0,0
1.98912,7.324853561,39.74464687,0.095594442,0.530291612,,1.98912,0,0,0
1.98924,7.324853561,39.74464687,0.095594442,0.530291612,,1.98924,0,0,0
1.98936,7.324853561,39.74464687,0.095594442,0.530291612,,1.98936,0,0,0
1.98948,7.324853561,39.74464687,0.095594442,0.530291612,,1.98948,0,0,0
1.9896,7.324898831,39.74465022,0.095590191,0.530267941,,1.9896,0,0,0
1.98972,7.324898831,39.74465022,0.095590191,0.530267941,,1.98972,0,0,0
1.98984,7.324898831,39.74465022,0.095590191,0.530267941,,1.98984,0,0,0
